name,country,address,phone,website,category,rating,num_reviews
Monalisa Kuaför By Zeki,Turkey,"Emirbeyazıt, Hasan Ali Yücel Cd. No:12/B, 48000 Muğla Merkez/Muğla",0555 645 45 85,,Kuaför,"4,2",109
Erol Alkan Kuaför,Turkey,"Merkez, Emirbeyazıt, Avcılar Sk. No:32, 48000 Menteşe/Muğla",0533 436 34 95,https://haritayer.com/yer/erol-alkan-kuafor/8X4Mm3c3x90EDkilqKYUAEGWVuP,Kuaför,"4,9",110
Klas Rom Kuafor,Turkey,"Emirbeyazıt, Özer Türk Cd. No:13/1, 48000 Menteşe/Muğla",0532 513 45 97,https://ayucesoy.com.tr/klas-rom-bayan-kuaforu/,Kuaför,"4,6",34
ZEN Kuaför,Turkey,"Emirbeyazıt, Özer Türk Cd. Birlik Aprt No:10/B, 48000 Menteşe/Muğla",(0252) 214 90 09,,Kuaför,"4,2",142
Muğla trend kuaför Gökhan - Ozan,Turkey,"Emirbeyazıt, Avcılar Sk. yıldız apt No:8 / 1, 48000 Menteşe/Muğla",0541 894 93 11,,Kuaför,"4,8",85
