name,country,address,phone,website,category,rating,num_reviews
Grand Konak Kır Düğün Salonu - Taşova,Turkey,"Sanayi mahallesi Niyazi Bey Caddesi No:1, 05800 Taşova/Amasya",0541 805 72 25,,Düğün Salonu,"4,3",57
İmza Garden Kır Düğün Salonu ve Organizasyon,Turkey,"Doğu, Niyazi Bey Cd. No:17, 05800 Taşova/Amasya",0530 328 04 92,,Düğün Salonu,"4,4",17
Yeşilyurt kır bahçesi düğün salonu,Turkey,"Amasya Yeni mahalle no:2, 05800 Taşova/Amasya",0541 680 11 19,,Düğün Hizmeti,"4,2",14
Taşova Düğün Salonu,Turkey,"Yeşilırmak, Hasan Aykan Cd. No:23, 05800 Taşova/Amasya",,,Düğün Hizmeti,"3,0",10
