name,country,address,phone,website,category,rating,num_reviews
Göksel Tantuni Erdemli,Turkey,"Süzerler Ap No 186G-H, Akdeniz, 33770 Erdemli/Mersin",(0324) 515 19 77,http://www.gokseltantuni.com/,Restoran,"3,3",3.681
Vestel Erdemli Atatürk Caddesi Yetkili Satış Mağazası - Seher Yonar,Turkey,"Merkez, Atatürk Cd. NO:158/D, 33730 Erdemli/Mersin",0532 060 15 63,,Beyaz Eşya Mağazası,"5,0",54
Lagün Park Cafe Restaurant,Turkey,"Tenis Kortları, Alata, Erdemoğlu Blv. no:109/A, 33730 Erdemli/Mersin",(0324) 515 60 40,https://lagunparkcafe.com/,Kafe,"4,1",1.056
LEAF CAFE,Turkey,"Sahil, 33730 Erdemli/Mersin",0545 977 58 33,https://instagram.com/leafcafe33?igshid=YmMyMTA2M2Y=,Kafe,"4,5",349
Mandaline,Turkey,"Alata, Erdemoğlu Blv., 33730 Erdemli/Mersin",0552 270 75 75,http://www.mandaline.com.tr/,Kafe,"4,2",761
